CDB_ID,Party_NumberĿ,Account(Customer_Name),Country_Code_Only
138,230514,TIRTH AGRO TECHNOLOGY PVT LTD,IN
139,230515,VISA / INNOVANT,US
140,230516,FUJIAN LANDHIGH LOGISTICS CO LTD,CN
141,230517,DUBAI AIRPORTS,AE
142,230518,RAJAPALAYAM MILLS,IN
143,230519,SKILLSFUTURE SINGAPORE,SG
144,230520,LG INNOTEK CO LTD,KR
145,230521,FIS PAYMENTS SOLUTIONS & SERVICES INDIA PRIVATE LTD,IN
146,230522,YAS HOLDING,BH
147,230523,AIRTEL CONGO S.A,NG
148,230524,FIRST ABU DHABI BANK (FAB),AE
149,230525,1 LINK GUARANTEE LTD,PK
150,230526,NORTON LIFELOCK INC,US
152,230527,"BEIJING MININGLAMP SOFTWARE SYSTEM CO., LTD.",CN
153,230528,BANK NOTE PAPER MILL INDIA PVT LTD,IN
154,230529,YUKSEKOGRETIM KURULU BILGI ISLEM DAIRESI,TR
155,230530,TERADATA OPERATIONS INC,US
156,230531,SHUZHOU INOVANCE TECHNOLOGY CO LTD,CN
157,230532,YINGDA TAIHE LIFE INSURANCE CO LTD,CN
159,230533,BROSE FAHRZEUGTEILE GMBH & CO. KOMMANDITGESELLSCHAFT,DE
160,230534,Dubai Holding,AE
161,230535,UBISOFT,FR
162,230536,CENTRAL PROVIDENT FUND BOARD,SG
164,230537,AMADEUS,IN
166,230538,YTL COMMUNICATIONS SDN BHD,MY
167,230539,SUZHOU TFC OPTICAL COMMUNICATION CO LTD,CN
168,230540,DAIMLER AG,GB
170,230541,UNITED BANK LTD,PK
171,230542,VINDA PAPER (CHINA) LIMITED GUANGDONG BRANCH,CN
172,230543,AMREF FLYING DOCTORS,KE
173,230544,GUJARAT GAS LTD,IN
174,230545,MAZAGON DOCK SHIPBUILDERS LIMITED,IN
175,230546,HCL TECHNOLOGIES LTD,IN
176,230547,CLARIOS (SHANGHAI) COMPANY MANAGEMENT CO LTD.CHANGNING BRANCH,CN
177,230548,PUBLIC UTILITIES BOARD,SG
178,230549,FEDEX EXPRESS INTERNATIONAL B V,GB
179,230550,TIMEX GROUP PRECISION ENGINEERING LIMITED,IN
182,230551,QILU PHARMACEUTICAL CO LTD,CN
183,230552,"PRODUBAN SERVICIOS INFORMATICOS GENERALES, S.L.",ES
184,230553,LANDSCHAFTSVERBAND RHEINLAND INFOKOM,DE
