CDB_ID,Party_NumberĿ,Account(Customer_Name),Country_Code_Only
154,230529,YUKSEKOGRETIM KURULU BILGI ISLEM DAIRESI,TR
155,230530,TERADATA OPERATIONS,US
156,230531,SHUZHOU INOVANCE TECHNOLOGY,CN
157,230532,YINGDA TAIHE LIFE INSURANCE,CN
159,230533,BROSE FAHRZEUGTEILE GMBH KOMMANDITGESELLSCHAFT,DE
160,230534,DUBAI HOLDING,AE
161,230535,UBISOFT,FR
162,230536,CENTRAL PROVIDENT FUND BOARD,SG
164,230537,AMADEUS,IN
166,230538,YTL COMMUNICATIONS SDN,MY
167,230539,SUZHOU TFC OPTICAL COMMUNICATION,CN
168,230540,DAIMLER AG,GB
170,230541,UNITED BANK,PK
171,230542,VINDA PAPER CHINA GUANGDONG BRANCH,CN
172,230543,AMREF FLYING DOCTORS,KE
173,230544,GUJARAT GAS,IN
174,230545,MAZAGON DOCK SHIPBUILDERS,IN
175,230546,HCL TECHNOLOGIES,IN
176,230547,CLARIOS SHANGHAI MANAGEMENT LTDCHANGNING BRANCH,CN
177,230548,PUBLIC UTILITIES BOARD,SG
178,230549,FEDEX EXPRESS INTERNATIONAL B V,GB
179,230550,TIMEX GROUP PRECISION ENGINEERING,IN
182,230551,QILU PHARMACEUTICAL,CN
183,230552,PRODUBAN SERVICIOS INFORMATICOS GENERALES SL,ES
184,230553,LANDSCHAFTSVERBAND RHEINLAND INFOKOM,DE
185,230554,MEDIACORP,SG
186,230555,STADTWERKE TUBINGEN GMBH,DE
187,230556,PRICEWATERHOUSECOOPERS INFORMATION TECHNOLOGIES SHANGHAI,CN
188,230557,POSTFINANCE AG,CH
189,230558,CHINA CITIC BANK,CN
190,230559,TATA POWER STRATEGIC ENGINEERING DIVISION,IN
191,230560,MUENCHENER RUECKVERSICHERUNGS,DE
192,230561,GITI TIRE CHINA INVESTMENT,CN
193,230562,LAND TRANSPORT AUTHORITY,WS
194,230563,ELECTRONICS FOR IMAGING,US
196,230564,INDOCO REMEDIES,IN
197,230565,SHANGHAI RURAL COMMERCIAL BANK,CN
198,230566,SMALL INDUSTRIES DEVELOPMENT BANK,IN
199,230567,SCHWARZ IT INFRASTRUCTURE OPERATIONS SERVICES GMBH KG,DE
200,230568,ORANGE CLOUD FOR BUSINESS,FR
201,230569,ETIHAD RAIL,AE
202,230570,AREEBA,LB
203,230571,TEREOS,IN
204,230572,DIMENSION DATA SINGAPORE,SG
205,230573,CIGNA CMC LIFE INSURANCE,CN
207,230574,KUWAIT NATIONAL PETROLEUM KNPC,KW
208,230575,IGA HAVALIMANI ISLETMESI AS,TR
210,230576,ADSN,FR
211,230577,ASEAN SECRETARIAT,ID
212,230578,MELCO RESORTS ENTERTAINMENT,MO
213,230579,HAIER FINANCIAL SERVICE CHINA,CN
214,230580,NTUC INCOME CENTRE,SG
215,230581,GTA SEMICONDUCTOR,CN
217,230582,TATA CONSULTANCY SERVICES,IN
218,230583,ION TRADING,GB
219,230584,DONGFENG LIUZHOU MOTOR,CN
220,230585,SHANGHAI FUTURES EXCHANGE,CN
221,230586,CHINA MOBILE GROUP SHANGHAI,CN
222,230587,SAUDI ARABIA MINSTRY OF INTERIOR,SA
223,230588,NATIONWIDE BUILDING SOCIETY,GB
224,230589,SUMITOMO SHI FW ENERGIA OY,FI
225,230590,TURK TELEKOM AS,TR
227,230591,ESSENTRA,GB
228,230592,BHARTI AIRTEL,IN
230,230593,MSN LABORATORIES,IN
231,230594,SAFE PHARMACEUTICAL TECHNOLOGY,CN
233,230595,CIVIL SERVICE COLLEGE,SG
235,230596,ADVANCED SEMICONDUCTOR ENGINEERING,TW
236,230597,ANHUI ZHONGYAN INDUSTRY,CN
237,230598,NOTTINGHAM CITY COUNCIL,GB
238,230599,SPECIALIST COMPUTER CENTRES,FR
239,230600,HOME CREDIT INTERNATIONAL AS,CZ
241,230601,RICHEMONT INTERNATIONAL,CH
242,230602,L T TECHNOLOGY SERVICES,IN
244,230603,CHINA RESOURCES LAND,CN
245,230604,ABU DHABI AIRPORT PJSC ADAC,AE
247,230605,FULLERTON INDIA CREDIT,IN
248,230606,GALAXYCORE ZHEJIANG,CN
250,230607,GARRETT ADVANCING MOTION,IN
252,230608,GENERAL ORGANIZATION FOR SOCIAL INSURANCE  GOSI ,SA
253,230609,DAIWA SECURITIES SMBC EUR,GB
254,230610,LUX AIRPORT,LU
256,230611,MS MAZAGON DOCK SHIP BUILDERS,IN
257,230612,HM REVENUE AND CUSTOMS,GB
259,230613,GUJARAT GAS,IN
260,230614,NATIONAL INFORMATICS CENTRE,IN
261,230615,MULTICHOICE,ZA
262,230616,DSTA,SG
263,230617,MTR,HK
265,230618,CAPITA BUSINESS SERVICES,GB
267,230619,NETWORK INTERNATIONAL,AE
268,230620,BISL,GB
271,230621,NOMURA INTERNATIONAL HONG KONG,IN
272,230622,DHL INFORMATION SERVICES EUROPE R O,MY
